step,reward,critic_loss,actor_loss,q_mean,logp_mean,sigma_mean,tau_mean,act_sat_frac,n_abort,abort_force_mean,success
11000,-0.3732,0.0482,-11.4201,10.6828,-4.0511,0.1820,0.1577,0.0013,0,0.0000,0.0000
11200,-0.3627,0.0591,-11.6991,10.9593,-4.0506,0.1827,0.1563,0.0026,0,0.0000,0.0000
11400,-0.3661,0.0589,-11.9180,11.1821,-4.0493,0.1818,0.1594,0.0039,0,0.0000,0.0000
11600,-0.3689,0.0451,-12.1606,11.4268,-4.0289,0.1823,0.1574,0.0039,0,0.0000,0.0000
11800,-0.3590,0.0609,-12.3608,11.6361,-4.0086,0.1805,0.1655,0.0013,0,0.0000,0.0000
12000,-0.3579,0.0577,-12.6562,11.9233,-4.0156,0.1826,0.1562,0.0013,0,0.0000,0.0000
12200,-0.3619,0.0675,-12.7910,12.0642,-4.0089,0.1816,0.1605,0.0020,0,0.0000,0.0000
12400,-0.3442,0.0769,-13.0744,12.3483,-4.0164,0.1807,0.1646,0.0026,0,0.0000,0.0000
12600,-0.3519,0.0622,-13.3332,12.6012,-4.0179,0.1822,0.1580,0.0033,0,0.0000,0.0000
12800,-0.3544,0.0736,-13.5221,12.7916,-4.0211,0.1817,0.1597,0.0007,0,0.0000,0.0000
13000,-0.3463,0.0812,-13.8612,13.1280,-4.0251,0.1822,0.1584,0.0026,0,0.0000,0.0000
13200,-0.3501,0.1009,-14.1184,13.3900,-4.0228,0.1809,0.1636,0.0026,0,0.0000,0.0000
13400,-0.3396,0.1014,-14.3088,13.5830,-3.9981,0.1815,0.1614,0.0033,0,0.0000,0.0000
13600,-0.3466,0.0881,-14.5553,13.8243,-3.9918,0.1829,0.1546,0.0020,0,0.0000,0.0000
13800,-0.3476,0.1252,-14.7625,14.0376,-3.9915,0.1818,0.1610,0.0007,0,0.0000,0.0000
14000,-0.3461,0.1057,-15.0374,14.3064,-4.0147,0.1819,0.1609,0.0033,0,0.0000,0.0000
14200,-0.3459,0.1164,-15.3234,14.5861,-4.0047,0.1838,0.1526,0.0033,0,0.0000,0.0000
14400,-0.3346,0.0809,-15.5467,14.8173,-4.0034,0.1822,0.1573,0.0000,0,0.0000,0.0000
14600,-0.3344,0.0847,-15.7886,15.0526,-3.9870,0.1846,0.1508,0.0007,0,0.0000,0.0000
14800,-0.3396,0.1022,-15.9696,15.2403,-3.9708,0.1838,0.1526,0.0039,0,0.0000,0.0000
15000,-0.3370,0.0749,-16.2715,15.5373,-4.0036,0.1832,0.1546,0.0020,0,0.0000,0.0000
15200,-0.4096,0.1373,-16.4528,15.7205,-3.9884,0.1837,0.1524,0.0013,0,0.0000,0.0000
15400,-0.3352,0.0915,-16.7750,16.0386,-3.9964,0.1843,0.1504,0.0046,0,0.0000,0.0000
15600,-0.3385,0.1202,-16.9295,16.1948,-3.9772,0.1847,0.1484,0.0013,0,0.0000,0.0000
15800,-0.3955,0.1809,-17.2569,16.5153,-4.0068,0.1853,0.1462,0.0020,0,0.0000,0.0000
16000,-0.3352,0.0718,-17.4844,16.7430,-4.0194,0.1845,0.1485,0.0020,0,0.0000,0.0000
16200,-0.3404,0.1496,-17.7205,16.9858,-3.9891,0.1841,0.1506,0.0026,0,0.0000,0.0000
16400,-0.3778,0.0866,-17.8728,17.1337,-4.0046,0.1845,0.1506,0.0039,0,0.0000,0.0000
16600,-0.3331,0.1001,-18.1647,17.4215,-3.9929,0.1861,0.1427,0.0033,0,0.0000,0.0000
16800,-0.3370,0.0804,-18.4099,17.6754,-3.9852,0.1844,0.1501,0.0046,0,0.0000,0.0000
17000,-0.3537,0.1223,-18.5660,17.8264,-4.0096,0.1845,0.1493,0.0033,0,0.0000,0.0000
17200,-0.3333,0.0766,-18.8030,18.0628,-3.9846,0.1858,0.1442,0.0026,0,0.0000,0.0000
17400,-0.3312,0.1056,-19.0364,18.2887,-3.9974,0.1871,0.1406,0.0026,0,0.0000,0.0000
17600,-0.3510,0.1158,-19.1833,18.4395,-4.0236,0.1849,0.1481,0.0007,0,0.0000,0.0000
17800,-0.3373,0.0777,-19.4035,18.6619,-3.9998,0.1854,0.1466,0.0020,0,0.0000,0.0000
18000,-0.3310,0.1274,-19.6615,18.9158,-4.0083,0.1862,0.1444,0.0020,0,0.0000,0.0000
18200,-0.3455,0.1157,-19.8469,19.1055,-3.9945,0.1856,0.1461,0.0039,0,0.0000,0.0000
18400,-0.3353,0.1153,-20.0836,19.3368,-3.9930,0.1870,0.1417,0.0026,0,0.0000,0.0000
18600,-0.3362,0.1198,-20.2075,19.4624,-3.9750,0.1876,0.1408,0.0000,0,0.0000,0.0000
18800,-0.3329,0.1914,-20.5254,19.7769,-3.9818,0.1881,0.1377,0.0007,0,0.0000,0.0000
19000,-0.3294,0.1468,-20.7533,20.0091,-3.9812,0.1871,0.1417,0.0020,0,0.0000,0.0000
19200,-0.3305,0.1201,-20.8724,20.1227,-3.9892,0.1879,0.1395,0.0020,0,0.0000,0.0000
19400,-0.3389,0.0946,-21.0251,20.2739,-3.9820,0.1886,0.1370,0.0020,0,0.0000,0.0000
19600,-0.3373,0.1901,-21.2271,20.4806,-3.9676,0.1883,0.1385,0.0026,0,0.0000,0.0000
