time_s,index_joint0_target_rad,middle_joint0_target_rad,pinky_joint0_target_rad,ring_joint0_target_rad,thumb_joint0_target_rad,index_joint1_target_rad,middle_joint1_target_rad,pinky_joint1_target_rad,ring_joint1_target_rad,thumb_joint1_target_rad,index_joint2_target_rad,thumb_joint2_target_rad
2.30000,0.169347,1.049811,0.865545,0.511933,1.830000,0.324995,0.000000,1.920000,0.200528,1.564859,1.094563,1.410875
2.35000,0.171728,0.906040,1.008609,0.398256,1.830000,0.522638,0.026506,1.920000,0.296150,1.570000,1.082690,1.344729
2.40000,0.163633,0.840251,1.012039,0.534192,1.830000,0.489396,0.062104,1.868940,0.185431,1.567922,1.338150,1.323491
2.45000,0.153738,0.796895,1.164642,0.490218,1.830000,0.535809,0.000000,1.920000,0.050880,1.570000,1.199838,1.192741
2.50000,0.160157,0.855203,1.154709,0.526928,1.819045,0.642259,0.010382,1.920000,0.000000,1.570000,1.502903,0.873299
2.55000,0.166418,0.674330,1.150681,0.320746,1.830000,0.410156,0.062028,1.920000,0.000000,1.570000,1.623242,0.520225
2.60000,0.172911,0.410831,1.033496,0.076077,1.798898,0.317215,0.501922,1.920000,0.000000,0.942697,1.528314,0.036605
2.65000,0.163867,0.104587,0.867882,0.041612,0.647668,0.101072,0.771239,1.894747,0.000000,-0.386160,1.461473,-0.146690
2.70000,0.174035,0.337132,1.096458,0.056872,0.216033,0.262405,0.292918,1.920000,0.027638,-0.519885,0.733025,0.667881
2.75000,0.174334,0.650149,1.598302,0.105491,0.034125,1.024537,0.069108,1.868365,0.015067,0.871940,0.549942,0.767518
2.80000,0.175000,0.765595,1.760255,0.903921,0.531997,1.526756,0.184837,1.504927,0.577420,1.336946,0.253813,0.925327
2.85000,0.137806,0.814995,1.375106,1.154185,1.367906,0.715543,0.064912,1.198686,0.608938,1.515939,0.190544,1.377528
2.90000,0.101104,0.789354,0.687784,0.778907,1.681284,0.297054,0.077020,1.522811,0.565645,1.314790,0.477763,1.616046
2.95000,0.104063,0.540261,0.663581,0.318532,1.799087,0.522369,0.055611,1.554434,0.272210,0.999026,0.691542,1.479150
3.00000,0.155560,0.630778,0.845008,0.092289,1.822138,0.749049,0.024956,1.793015,0.296943,1.081528,1.006071,0.909853
3.05000,0.161187,0.932253,1.224952,0.252660,1.830000,0.843089,0.000000,1.920000,0.297548,1.073139,1.087449,0.188176
3.10000,0.175000,0.722336,1.508997,1.190258,1.795513,0.718278,0.004082,1.920000,0.407274,1.212667,1.117942,0.613655
3.15000,0.174683,0.811675,1.124048,0.982843,1.817691,0.531106,0.017911,1.920000,0.658223,1.332317,1.097377,1.370397
3.20000,0.161416,0.765276,0.598879,0.618148,1.830000,0.381138,0.000000,1.920000,0.212034,1.440922,1.255018,1.653997
3.25000,0.163998,1.100783,1.003684,0.231975,1.830000,0.739201,0.008023,1.898757,0.037942,1.484125,1.268194,1.176961
3.30000,0.165754,0.899782,1.584192,0.474768,1.830000,0.489114,0.000000,1.885309,0.418876,1.531425,0.993479,0.726715
3.35000,0.162963,0.588040,1.070505,0.537232,1.821031,0.680062,0.000000,1.886224,0.367076,1.389383,1.179942,1.141035
3.40000,0.172421,0.705103,0.764478,0.676972,1.807712,0.480163,0.020176,1.880683,0.273434,1.504488,1.041795,1.459935
3.45000,0.150862,0.951169,0.874477,0.451119,1.821994,0.640603,0.000000,1.904747,0.072435,1.557098,1.196175,1.424530
3.50000,0.164661,1.124549,1.136536,0.553030,1.796268,0.495017,0.000000,1.920000,0.391887,1.570000,0.897293,1.370036
3.55000,0.162597,0.719269,0.872709,0.444109,1.807875,0.486294,0.000000,1.886360,0.556100,1.570000,0.963200,1.455536
3.60000,0.163820,0.959784,0.845402,0.513225,1.798011,0.452444,0.000000,1.872582,0.226620,1.570000,1.137866,1.508648
3.65000,0.174651,1.088058,1.504734,0.458219,1.807067,0.613693,0.000000,1.899781,0.424410,1.570000,0.806528,0.881650
3.70000,0.172480,1.020351,1.148694,0.608108,1.798104,0.907195,0.000000,1.920000,0.465417,1.570000,1.232915,1.313838
3.75000,0.166494,1.032841,0.932143,0.543382,1.830000,0.309042,0.000000,1.905851,0.485645,1.557292,0.923997,1.613552
3.80000,0.174856,0.798105,1.197301,0.330719,1.830000,0.734437,0.021917,1.886707,0.194206,1.517049,0.601745,0.970995
3.85000,0.163637,0.890155,1.292408,0.391701,1.830000,0.586077,0.000000,1.920000,0.681305,1.546332,0.750842,0.587062
3.90000,0.170272,0.253177,1.572762,0.158480,1.830000,0.758838,1.056670,1.895830,0.870269,1.570000,1.103656,0.510581
3.95000,0.164397,0.066303,1.143349,0.060405,1.808926,0.454944,1.210174,1.735130,0.729568,-0.011084,0.338562,0.452340
4.00000,0.175000,0.035818,1.081560,0.011629,0.619357,0.662259,1.596397,1.711148,0.227314,-0.593278,0.334580,0.002729
4.05000,0.169927,0.000540,1.594413,0.008721,0.245754,0.782881,1.347373,1.816996,0.103853,-0.068568,0.224886,0.343049
4.10000,0.171956,0.000000,1.822535,0.000000,0.082162,0.945529,1.197955,1.559358,0.000000,0.775110,0.322263,1.046208
4.15000,0.175000,0.532262,1.902245,0.019885,0.288134,0.754841,1.384759,1.528952,0.224453,0.961962,0.330291,1.337348
4.20000,0.174144,0.771710,1.717418,0.001187,1.073297,0.669255,1.441302,1.589095,0.419056,1.039008,0.522914,1.476444
4.25000,0.141037,0.603896,1.391324,0.000000,1.049840,0.581408,1.053746,1.509062,0.810393,1.260762,0.446866,1.779757
4.30000,0.155741,0.663773,1.175102,0.000000,1.269899,0.384433,0.914942,1.592429,1.153750,0.932091,0.436225,1.738118
4.35000,0.145052,0.647720,0.977636,0.000000,1.274835,0.520489,0.962860,1.428496,1.229332,0.704231,0.543280,1.830000
4.40000,0.138128,0.453556,0.948462,0.000000,1.381052,0.505272,0.980703,1.457693,1.357153,0.469251,0.585407,1.757039
4.45000,0.136804,0.297495,1.043779,0.000000,1.506328,0.501841,1.049427,1.375604,1.155475,0.427969,0.605088,1.763490
4.50000,0.129009,0.324756,0.926817,0.029659,1.701668,0.499790,1.004839,1.454644,0.988493,0.592296,0.611905,1.788317
4.55000,0.125025,0.246936,0.788612,0.011698,1.805689,0.345513,0.851999,1.521920,0.978376,0.186468,0.661348,1.826201
4.60000,0.072285,0.421291,0.945236,0.000000,1.830000,0.266217,1.134386,1.361541,0.451600,-0.238341,0.891995,1.830000
4.65000,0.030316,0.246671,0.930386,0.186554,1.756726,0.273379,0.983775,1.368344,0.419071,0.167139,1.098230,1.761221
4.70000,0.020105,0.566285,0.845859,0.185002,1.800491,0.366376,0.857104,1.416090,0.335387,-0.121086,1.432881,1.597989
4.75000,-0.022570,0.796899,0.998117,0.058056,1.830000,0.353233,1.280425,1.762539,0.147615,0.432737,1.126491,1.411445
4.80000,0.038202,1.219601,1.145258,0.370400,1.461433,1.372637,0.800525,1.885639,1.246826,-0.363834,0.676175,0.658828
4.85000,0.013040,1.122355,1.559081,0.082721,1.161185,1.311354,1.002679,1.920000,1.326844,0.974061,0.268138,0.693520
4.90000,0.063075,0.854728,1.778143,0.922789,1.576786,1.647050,0.493579,1.920000,1.737441,0.890227,1.190145,1.116434
4.95000,-0.017934,0.430108,1.638890,1.026370,1.755194,0.542001,0.478757,1.895371,1.822450,0.765346,0.591890,0.976344
5.00000,0.009054,0.303667,1.518397,1.245790,1.817183,0.695493,0.422598,1.553372,1.802137,0.550007,0.778894,0.975148
5.05000,0.120505,0.070807,1.093477,0.761684,1.830000,0.896962,0.523848,0.881996,1.443383,0.148621,1.059882,0.835800
5.10000,0.162258,0.494215,1.371683,0.482420,1.416288,1.378508,0.599521,0.333559,1.256896,-0.024874,0.733377,0.143853
5.15000,0.175000,0.210025,1.736356,1.003672,1.557193,1.684469,0.270610,1.135490,1.290344,-0.056889,0.238384,0.910018
5.20000,0.174615,1.301728,1.892165,0.918683,1.015449,1.832062,0.702782,1.379044,1.655843,0.081925,0.110875,0.934708
5.25000,0.057257,0.866524,1.920000,0.395612,1.525305,1.550628,0.772598,1.714861,1.610151,0.064202,0.014167,0.888139
5.30000,0.037647,0.966616,1.919370,0.460177,1.688624,1.544967,0.885776,1.217489,1.795552,-0.008632,0.000000,0.973000
5.35000,0.073019,0.698331,1.840342,0.612485,1.581726,1.461547,0.741038,1.679306,1.859184,0.210303,0.331484,1.240742
5.40000,0.057048,0.929155,1.920000,0.761679,1.775439,0.893299,0.768395,1.697240,1.892357,0.253224,0.346717,1.523316
5.45000,0.026202,1.000134,1.763372,1.031682,1.830000,0.817220,0.584067,1.794886,1.830071,0.429615,0.802158,1.784668
5.50000,-0.008591,0.767012,1.239115,1.112142,1.830000,0.692801,0.536129,1.324671,1.613785,0.396789,1.163291,1.712314
5.55000,0.051722,0.375999,1.079762,0.784427,1.830000,0.710368,0.889785,0.722572,1.485893,0.138995,1.505838,1.269089
5.60000,0.120501,0.325482,1.249887,0.276819,1.552024,1.130120,1.317767,0.369941,0.927742,-0.567490,1.637672,0.594558
5.65000,0.157498,0.123941,1.657187,0.160323,0.536362,1.684906,1.067419,1.266326,1.255291,-0.799166,0.508361,0.818514
5.70000,0.169677,1.340945,1.849861,0.104246,0.191901,1.854740,0.652485,1.707905,1.632842,0.567663,0.239879,1.141017
5.75000,-0.008623,1.698403,1.894573,0.286323,1.293220,1.849468,0.709851,1.195783,1.796222,0.620160,0.120622,1.057451
5.80000,-0.004024,1.617773,1.920000,1.240857,1.630744,1.026892,0.853770,1.622009,1.599808,0.889839,0.008109,1.215365
5.85000,0.054446,0.703779,1.553834,1.250000,1.753417,0.518350,0.469530,1.750286,1.743610,0.903119,0.811168,1.613189
5.90000,0.056401,0.234877,1.209745,0.963462,1.745940,0.327671,0.738314,1.388373,1.754004,0.547723,1.309197,1.645680
